n,Run 1,Run 2,Run 3,Average Runtime,Based on n = 100,Based on max(n)
100,0.000161,0.000195,0.000212,0.0001893333333,0.0001893333333,0.00045670565
200,0.000689,0.000727,0.000569,0.0006616666667,0.0007573333332,0.0018268226
300,0.001974,0.001358,0.001691,0.001674333333,0.001704,0.00411035085
400,0.001377,0.002088,0.002142,0.001869,0.003029333333,0.0073072904
500,0.003872,0.002823,0.00424,0.003645,0.004733333333,0.01141764125
600,0.002234,0.003216,0.002086,0.002512,0.006815999999,0.0164414034
700,0.002935,0.004113,0.002913,0.003320333333,0.009277333332,0.02237857685
800,0.004696,0.004091,0.003768,0.004185,0.01211733333,0.0292291616
900,0.005748,0.005169,0.005327,0.005414666667,0.015336,0.03699315765
1000,0.00742,0.007322,0.00727,0.007337333333,0.01893333333,0.045670565
2000,0.04008,0.03981,0.039366,0.039752,0.07573333332,0.18268226
4000,0.174638,0.174238,0.179375,0.1760836667,0.3029333333,0.73072904
8000,0.885111,1.11304,0.83717,0.945107,1.211733333,2.92291616
16000,4.901411,4.892481,4.893741,4.895877667,4.846933332,11.69166464
20000,18.149922,18.244363,18.410393,18.268226,7.573333332,18.268226
