Input Size,Run 1,Run 2,Run 3
100,0.000322,0.000098,0.000097
200,0.001239,0.000472,0.000474
300,0.000916,0.001693,0.001399
400,0.001612,0.002992,0.002463
500,0.004512,0.003842,0.003269
600,0.006752,0.004166,0.003665
700,0.008331,0.006465,0.004959
800,0.011723,0.007581,0.006565
900,0.008396,0.008404,0.008459
1000,0.013573,0.013263,0.013629
2000,0.107207,0.080216,0.081672
4000,0.504905,0.516301,0.499287
8000,2.736272,2.600374,2.539573
16000,11.684459,10.663129,10.870493
20000,19.898535,19.313723,19.498418
