n,t,Run 1,Run 2,Run 3
30000,1,32.889837,26.856818,29.811282
30000,2,23.378863,19.494408,17.722592
30000,4,12.601399,7.370753,8.162249
30000,8,6.238443,9.750188,15.105060
30000,16,9.104985,10.051486,5.393333
30000,32,6.226663,6.163887,7.860596
30000,64,7.885389,9.160602,4.981102
40000,1,70.946726,73.920582,94.545466
40000,2,78.152651,56.836434,53.241829
40000,4,45.074927,42.620832,42.997438
40000,8,51.384155,46.916829,47.648365
40000,16,36.403089,40.866815,33.954806
40000,32,31.641027,28.638018,32.257967
40000,64,29.861961,32.050360,34.728111
50000,1,,,
50000,2,,,
50000,4,,,
