n,t,Run 1,Run 2,Run 3,Average
4000,2,0.066601,0.069604,0.069717,0.068641
4000,4,0.102018,0.097167,0.087747,0.095644
4000,8,0.116230,0.126081,0.132218,0.124843
4000,16,0.170061,0.171580,0.153291,0.164977
8000,2,0.297870,0.276155,0.283803,0.285943
8000,4,0.376805,0.407847,0.409622,0.398090
8000,8,0.444653,0.453941,0.463717,0.454103
8000,16,0.571647,0.574121,0.584985,0.576917
16000,2,1.106421,1.121974,1.108375,1.112257
16000,4,1.512213,1.513140,1.499006,1.508120
16000,8,1.903249,1.826850,1.838223,1.856107
16000,16,2.308603,2.191542,2.222504,2.240880
