n,t,Run 1,Run 2,Run 3,Average
4000,2,0.040335,0.040153,0.039267,0.039918
4000,4,0.049033,0.058999,0.052898,0.053643
4000,8,0.060006,0.066514,0.062079,0.062866
4000,16,0.076767,0.077121,0.077668,0.077185
8000,2,0.119196,0.138572,0.115375,0.124381
8000,4,0.194941,0.158183,0.151807,0.168310
8000,8,0.190914,0.195001,0.200516,0.195477
8000,16,0.242126,0.276153,0.246805,0.255028
16000,2,1.779575,1.308980,1.345404,1.477983
16000,4,1.806763,1.672578,1.605023,1.694787
16000,8,1.902538,1.974259,1.899851,1.925550
16000,16,2.206205,2.096481,2.307693,2.203460
