n,t,Run 1,Run 2,Run 3,Average
4000,2,0.066119,0.071152,0.094770,0.077347
4000,4,0.097391,0.099395,0.094052,0.096946
4000,8,0.113560,0.125336,0.121977,0.120291
4000,16,0.149012,0.150856,0.161329,0.153732
8000,2,0.249637,0.248640,0.246459,0.248245
8000,4,0.332911,0.331576,0.326804,0.330430
8000,8,0.410176,0.409041,0.409068,0.409430
8000,16,0.507739,0.506527,0.502110,0.505460
16000,2,0.970228,0.971398,0.971934,0.971187
16000,4,1.289210,1.479528,1.489275,1.419340
16000,8,1.837624,1.830794,1.837564,1.835323
16000,16,2.274664,2.352323,2.294020,2.307000
