n,t,Run 1,Run 2,Run 3,Average
4000,2,1.657313,1.657788,1.659649,1.658250
4000,4,2.218419,2.211390,2.217227,2.215679
4000,8,2.245887,2.242073,2.246133,2.244698
4000,16,2.270535,2.284025,2.280654,2.278405
8000,2,6.610966,6.607082,6.610504,6.609517
8000,4,8.810147,8.814957,8.808350,8.811151
8000,8,8.893880,8.889189,8.891539,8.891536
8000,16,8.983851,8.998948,8.989455,8.990751
16000,2,26.427897,26.415302,26.407683,26.416961
16000,4,35.184000,35.196472,35.199656,35.193376
16000,8,35.482433,35.494159,35.515189,35.497260
16000,16,35.826937,35.822607,35.812593,35.820712
