n,t,Max of Run 1,Max of Run 2,Max of Run 3,Average
4000,2,0.107,0.106477,0.105795,0.106424
4000,4,0.044238,0.04176,0.042878,0.042959
4000,8,0.021521,0.022626,0.023153,0.022433
4000,16,0.015165,0.014367,0.014276,0.014603
8000,2,0.428963,0.427499,0.42907,0.428510
8000,4,0.193556,0.181872,0.181463,0.185630
8000,8,0.091327,0.091782,0.090718,0.091276
8000,16,0.084206,0.085893,0.0826,0.084233
16000,2,2.03142,1.99376,1.92231,1.982497
16000,4,0.905269,0.905376,0.988857,0.933170
16000,8,0.399715,0.416828,0.403095,0.406547
16000,16,0.347192,0.353955,0.358064,0.353070
