n,t,Max of Run 1,Max of Run 2,Max of Run 3,Average
4000,2,0.094756,0.092024,0.092429,0.093070
4000,4,0.057022,0.057296,0.057446,0.057255
4000,8,0.023449,0.023839,0.023496,0.023595
4000,16,0.017166,0.017216,0.016973,0.017118
8000,2,0.430447,0.429213,0.429135,0.429598
8000,4,0.225373,0.224703,0.224936,0.225004
8000,8,0.101181,0.099846,0.102103,0.101043
8000,16,0.083437,0.082605,0.082823,0.082955
16000,2,1.87291,1.87433,1.90584,1.884360
16000,4,0,1.03823,1.03602,0.691417
16000,8,0,0,0,0.000000
16000,16,0,0.422289,0.419174,0.280488
